embedder,media_type,corpus,dataset,category,query,base,arm,delta,cluster
bge,text,20newsgroups,20newsgroups_m,world,world politics and government affairs,0.202634,0.167443,-0.035191,20newsgroups|world
bge,text,20newsgroups,20newsgroups_m,business,buying and selling merchandise,0.236355,0.187946,-0.04840900000000001,20newsgroups|business
bge,text,20newsgroups,20newsgroups_m,technology,computer graphics and image rendering,0.763593,0.664243,-0.09934999999999994,20newsgroups|technology
bge,text,20newsgroups,20newsgroups_m,medicine,medical diseases and health treatments,0.503719,0.427131,-0.07658800000000004,20newsgroups|medicine
bge,text,20newsgroups,20newsgroups_m,crypto,cryptography and data encryption,0.789046,0.765692,-0.023353999999999986,20newsgroups|crypto
bge,text,20newsgroups,20newsgroups_m,atheism,atheism and arguments against religion,0.438184,0.425279,-0.012905,20newsgroups|atheism
bge,text,20newsgroups,20newsgroups_m,motorcycles,motorcycle riding and maintenance,0.581643,0.456702,-0.12494100000000002,20newsgroups|motorcycles
bge,text,20newsgroups,20newsgroups_m,mideast,middle east politics and conflict,0.701597,0.630405,-0.07119200000000003,20newsgroups|mideast
bge,text,20newsgroups,20newsgroups_m,guns,firearms and gun legislation,0.531449,0.495308,-0.03614099999999992,20newsgroups|guns
bge,text,20newsgroups,20newsgroups_s,sports,baseball games and athletic competition,0.728944,0.650002,-0.07894200000000007,20newsgroups|sports
bge,text,20newsgroups,20newsgroups_s,science,outer space exploration and astronomy,0.716763,0.646271,-0.070492,20newsgroups|science
bge,text,20newsgroups,20newsgroups_s,cars,automobiles and car reviews,0.566821,0.430661,-0.13616,20newsgroups|cars
bge,text,20newsgroups,20newsgroups_s,hockey,ice hockey games and NHL scores,0.808873,0.786713,-0.022159999999999958,20newsgroups|hockey
bge,text,20newsgroups,20newsgroups_s,electronics,electronic circuits and components,0.34958,0.264966,-0.08461400000000002,20newsgroups|electronics
bge,text,20newsgroups,20newsgroups_s,religion,christian faith and religious practice,0.674364,0.641203,-0.033160999999999996,20newsgroups|religion
bge,text,20newsgroups,20newsgroups_s,world,world politics and government affairs,0.197135,0.185836,-0.011299000000000003,20newsgroups|world
bge,text,20newsgroups,20newsgroups_s,business,buying and selling merchandise,0.239398,0.21021,-0.02918799999999999,20newsgroups|business
bge,text,20newsgroups,20newsgroups_s,technology,computer graphics and image rendering,0.739556,0.650013,-0.08954300000000004,20newsgroups|technology
bge,text,20newsgroups,20newsgroups_s,medicine,medical diseases and health treatments,0.463142,0.404902,-0.058240000000000014,20newsgroups|medicine
bge,text,20newsgroups,20newsgroups_s,crypto,cryptography and data encryption,0.779555,0.770115,-0.009440000000000004,20newsgroups|crypto
bge,text,20newsgroups,20newsgroups_s,atheism,atheism and arguments against religion,0.461213,0.400681,-0.060531999999999975,20newsgroups|atheism
bge,text,20newsgroups,20newsgroups_s,motorcycles,motorcycle riding and maintenance,0.593467,0.508893,-0.08457399999999993,20newsgroups|motorcycles
bge,text,20newsgroups,20newsgroups_s,mideast,middle east politics and conflict,0.761234,0.702718,-0.05851600000000001,20newsgroups|mideast
bge,text,20newsgroups,20newsgroups_s,guns,firearms and gun legislation,0.681179,0.655245,-0.025934000000000013,20newsgroups|guns
clap,audio,esc50,esc50_l,dog,a dog barking,1.0,0.991004,-0.008996000000000004,esc50|dog
clap,audio,esc50,esc50_l,rooster,a rooster crowing at dawn,0.966472,0.856924,-0.10954799999999998,esc50|rooster
clap,audio,esc50,esc50_l,pig,a pig oinking,0.799441,0.764278,-0.035162999999999944,esc50|pig
clap,audio,esc50,esc50_l,cow,a cow mooing,0.529137,0.57022,0.04108299999999998,esc50|cow
clap,audio,esc50,esc50_l,frog,frogs croaking,0.990922,1.0,0.00907800000000003,esc50|frog
clap,audio,esc50,esc50_l,cat,a cat meowing,1.0,0.994631,-0.005368999999999957,esc50|cat
clap,audio,esc50,esc50_l,hen,a hen clucking,0.56678,0.399065,-0.16771499999999995,esc50|hen
clap,audio,esc50,esc50_l,insects,buzzing insects,0.417362,0.501757,0.084395,esc50|insects
clap,audio,esc50,esc50_l,sheep,sheep bleating,0.978261,0.963055,-0.015206000000000053,esc50|sheep
clap,audio,esc50,esc50_l,crow,a crow cawing,1.0,1.0,0.0,esc50|crow
clap,audio,esc50,esc50_l,rain,rain falling,0.941432,0.873224,-0.06820800000000005,esc50|rain
clap,audio,esc50,esc50_l,sea_waves,ocean waves crashing on the shore,0.941649,0.943524,0.001875000000000071,esc50|sea_waves
clap,audio,esc50,esc50_l,crackling_fire,crackling fire in a fireplace,0.994983,1.0,0.005017000000000049,esc50|crackling_fire
clap,audio,esc50,esc50_l,crickets,crickets chirping at night,0.811859,0.887693,0.07583399999999996,esc50|crickets
clap,audio,esc50,esc50_l,chirping_birds,birds singing and chirping,0.750742,0.733888,-0.016854000000000036,esc50|chirping_birds
clap,audio,esc50,esc50_l,water_drops,dripping water drops,0.660891,0.869603,0.208712,esc50|water_drops
clap,audio,esc50,esc50_l,wind,wind howling,0.499327,0.524938,0.025610999999999995,esc50|wind
clap,audio,esc50,esc50_l,pouring_water,pouring water from a container,0.989384,0.96098,-0.028404000000000096,esc50|pouring_water
clap,audio,esc50,esc50_l,toilet_flush,a toilet flushing,1.0,0.994631,-0.005368999999999957,esc50|toilet_flush
clap,audio,esc50,esc50_l,thunderstorm,thunderstorm with loud thunder,0.981741,0.984295,0.0025540000000000562,esc50|thunderstorm
clap,audio,esc50,esc50_l,crying_baby,a baby crying,0.994631,0.981227,-0.013404000000000083,esc50|crying_baby
clap,audio,esc50,esc50_l,sneezing,someone sneezing,0.994631,0.994983,0.00035199999999990794,esc50|sneezing
clap,audio,esc50,esc50_l,clapping,people clapping and applauding,1.0,1.0,0.0,esc50|clapping
clap,audio,esc50,esc50_l,breathing,heavy breathing,0.847591,0.910089,0.062498000000000054,esc50|breathing
clap,audio,esc50,esc50_l,coughing,someone coughing,0.759343,0.685931,-0.07341200000000003,esc50|coughing
clap,audio,esc50,esc50_l,footsteps,footsteps walking,0.87916,0.907449,0.028288999999999898,esc50|footsteps
clap,audio,esc50,esc50_l,laughing,people laughing,0.939913,0.731311,-0.20860199999999995,esc50|laughing
clap,audio,esc50,esc50_l,brushing_teeth,brushing teeth,0.998188,0.998188,0.0,esc50|brushing_teeth
clap,audio,esc50,esc50_l,snoring,someone snoring loudly,0.980381,0.98153,0.0011490000000000666,esc50|snoring
clap,audio,esc50,esc50_l,drinking_sipping,drinking and sipping,0.919496,0.962433,0.042937,esc50|drinking_sipping
clap,audio,esc50,esc50_l,door_wood_knock,knocking on a wooden door,1.0,1.0,0.0,esc50|door_wood_knock
clap,audio,esc50,esc50_l,mouse_click,mouse clicking,0.852727,0.822636,-0.03009099999999998,esc50|mouse_click
clap,audio,esc50,esc50_l,keyboard_typing,keyboard typing,0.987019,0.983918,-0.0031010000000000204,esc50|keyboard_typing
clap,audio,esc50,esc50_l,door_wood_creep,a creaking wooden door,0.0,0.0,0.0,esc50|door_wood_creep
clap,audio,esc50,esc50_l,can_opening,opening a can,0.961841,0.955922,-0.0059189999999998966,esc50|can_opening
clap,audio,esc50,esc50_l,washing_machine,a washing machine running,0.783481,0.733742,-0.04973899999999998,esc50|washing_machine
clap,audio,esc50,esc50_l,vacuum_cleaner,a vacuum cleaner,0.909889,0.869649,-0.04023999999999994,esc50|vacuum_cleaner
clap,audio,esc50,esc50_l,clock_alarm,an alarm clock ringing,0.695202,0.743463,0.048261,esc50|clock_alarm
clap,audio,esc50,esc50_l,clock_tick,a clock ticking,0.865691,0.843822,-0.021869000000000027,esc50|clock_tick
clap,audio,esc50,esc50_l,glass_breaking,glass shattering,1.0,1.0,0.0,esc50|glass_breaking
clap,audio,esc50,esc50_l,helicopter,a helicopter flying,0.802573,0.797401,-0.005171999999999954,esc50|helicopter
clap,audio,esc50,esc50_l,chainsaw,a chainsaw cutting wood,0.92249,0.913508,-0.008982000000000046,esc50|chainsaw
clap,audio,esc50,esc50_l,siren,an emergency siren,0.966781,0.949287,-0.01749400000000001,esc50|siren
clap,audio,esc50,esc50_l,car_horn,a car horn honking,0.994631,0.980538,-0.014093000000000022,esc50|car_horn
clap,audio,esc50,esc50_l,engine,an engine revving,0.760884,0.619306,-0.14157799999999998,esc50|engine
clap,audio,esc50,esc50_l,train,a train passing by,0.825948,0.781172,-0.04477600000000004,esc50|train
clap,audio,esc50,esc50_l,church_bells,church bells ringing,1.0,1.0,0.0,esc50|church_bells
clap,audio,esc50,esc50_l,airplane,an airplane flying overhead,0.904332,0.913127,0.008794999999999997,esc50|airplane
clap,audio,esc50,esc50_l,fireworks,fireworks exploding,0.955548,0.855133,-0.10041499999999992,esc50|fireworks
clap,audio,esc50,esc50_l,hand_saw,hand-sawing wood,0.982163,0.97693,-0.005233000000000043,esc50|hand_saw
clap,audio,esc50,esc50_m,dog,a dog barking,1.0,1.0,0.0,esc50|dog
clap,audio,esc50,esc50_m,rooster,a rooster crowing at dawn,0.96097,0.95877,-0.0021999999999999797,esc50|rooster
clap,audio,esc50,esc50_m,pig,a pig oinking,0.939899,0.934732,-0.005167000000000033,esc50|pig
clap,audio,esc50,esc50_m,cow,a cow mooing,0.763768,0.772034,0.008265999999999996,esc50|cow
clap,audio,esc50,esc50_m,frog,frogs croaking,0.981151,0.979167,-0.0019839999999999858,esc50|frog
clap,audio,esc50,esc50_m,cat,a cat meowing,1.0,1.0,0.0,esc50|cat
clap,audio,esc50,esc50_m,hen,a hen clucking,0.593443,0.449699,-0.14374400000000004,esc50|hen
clap,audio,esc50,esc50_m,insects,buzzing insects,0.41747,0.51967,0.10219999999999996,esc50|insects
clap,audio,esc50,esc50_m,sheep,sheep bleating,0.983333,0.932311,-0.05102200000000001,esc50|sheep
clap,audio,esc50,esc50_m,crow,a crow cawing,1.0,1.0,0.0,esc50|crow
clap,audio,esc50,esc50_m,rain,rain falling,0.959402,0.72515,-0.23425200000000002,esc50|rain
clap,audio,esc50,esc50_m,sea_waves,ocean waves crashing on the shore,0.651829,0.681096,0.029267000000000043,esc50|sea_waves
clap,audio,esc50,esc50_m,crackling_fire,crackling fire in a fireplace,0.972222,0.979167,0.006944999999999979,esc50|crackling_fire
clap,audio,esc50,esc50_m,crickets,crickets chirping at night,0.951221,1.0,0.04877900000000002,esc50|crickets
clap,audio,esc50,esc50_m,chirping_birds,birds singing and chirping,0.913161,0.909127,-0.004033999999999982,esc50|chirping_birds
clap,audio,esc50,esc50_m,water_drops,dripping water drops,0.836249,0.899939,0.06369000000000002,esc50|water_drops
clap,audio,esc50,esc50_m,wind,wind howling,0.46296,0.476376,0.013416000000000039,esc50|wind
clap,audio,esc50,esc50_m,pouring_water,pouring water from a container,1.0,1.0,0.0,esc50|pouring_water
clap,audio,esc50,esc50_m,toilet_flush,a toilet flushing,1.0,0.97907,-0.020930000000000004,esc50|toilet_flush
clap,audio,esc50,esc50_m,thunderstorm,thunderstorm with loud thunder,0.986645,0.986645,0.0,esc50|thunderstorm
clap,audio,esc50,esc50_m,crying_baby,a baby crying,1.0,1.0,0.0,esc50|crying_baby
clap,audio,esc50,esc50_m,sneezing,someone sneezing,0.99359,1.0,0.006410000000000027,esc50|sneezing
clap,audio,esc50,esc50_m,clapping,people clapping and applauding,1.0,1.0,0.0,esc50|clapping
clap,audio,esc50,esc50_m,breathing,heavy breathing,0.451943,0.515142,0.063199,esc50|breathing
clap,audio,esc50,esc50_m,coughing,someone coughing,0.907109,0.870781,-0.03632800000000003,esc50|coughing
clap,audio,esc50,esc50_m,footsteps,footsteps walking,0.389588,0.471513,0.08192500000000003,esc50|footsteps
clap,audio,esc50,esc50_m,laughing,people laughing,1.0,0.988095,-0.011905000000000054,esc50|laughing
clap,audio,esc50,esc50_m,brushing_teeth,brushing teeth,0.928161,0.927903,-0.00025799999999998047,esc50|brushing_teeth
clap,audio,esc50,esc50_m,snoring,someone snoring loudly,1.0,1.0,0.0,esc50|snoring
clap,audio,esc50,esc50_m,drinking_sipping,drinking and sipping,0.611196,0.599481,-0.01171499999999992,esc50|drinking_sipping
clap,audio,esc50,esc50_m,door_wood_knock,knocking on a wooden door,1.0,1.0,0.0,esc50|door_wood_knock
clap,audio,esc50,esc50_m,mouse_click,mouse clicking,0.851411,0.824052,-0.027359000000000022,esc50|mouse_click
clap,audio,esc50,esc50_m,keyboard_typing,keyboard typing,0.986645,0.755322,-0.23132299999999995,esc50|keyboard_typing
clap,audio,esc50,esc50_m,door_wood_creep,a creaking wooden door,0.0,0.0,0.0,esc50|door_wood_creep
clap,audio,esc50,esc50_m,can_opening,opening a can,1.0,0.940308,-0.05969199999999997,esc50|can_opening
clap,audio,esc50,esc50_m,washing_machine,a washing machine running,0.508915,0.45446,-0.05445500000000003,esc50|washing_machine
clap,audio,esc50,esc50_m,vacuum_cleaner,a vacuum cleaner,0.981151,0.967699,-0.01345200000000002,esc50|vacuum_cleaner
clap,audio,esc50,esc50_m,clock_alarm,an alarm clock ringing,0.603202,0.709494,0.10629199999999994,esc50|clock_alarm
clap,audio,esc50,esc50_m,clock_tick,a clock ticking,0.854041,0.860659,0.006617999999999902,esc50|clock_tick
clap,audio,esc50,esc50_m,glass_breaking,glass shattering,1.0,0.99359,-0.006410000000000027,esc50|glass_breaking
clap,audio,esc50,esc50_m,helicopter,a helicopter flying,0.890216,0.854898,-0.03531799999999996,esc50|helicopter
clap,audio,esc50,esc50_m,chainsaw,a chainsaw cutting wood,0.913337,0.913337,0.0,esc50|chainsaw
clap,audio,esc50,esc50_m,siren,an emergency siren,0.967699,1.0,0.032301000000000024,esc50|siren
clap,audio,esc50,esc50_m,car_horn,a car horn honking,0.97549,0.955128,-0.02036199999999999,esc50|car_horn
clap,audio,esc50,esc50_m,engine,an engine revving,0.614199,0.463396,-0.15080300000000008,esc50|engine
clap,audio,esc50,esc50_m,train,a train passing by,0.778472,0.7338,-0.044672000000000045,esc50|train
clap,audio,esc50,esc50_m,church_bells,church bells ringing,1.0,1.0,0.0,esc50|church_bells
clap,audio,esc50,esc50_m,airplane,an airplane flying overhead,0.933307,0.931985,-0.0013220000000000454,esc50|airplane
clap,audio,esc50,esc50_m,fireworks,fireworks exploding,1.0,0.913896,-0.08610399999999996,esc50|fireworks
clap,audio,esc50,esc50_m,hand_saw,hand-sawing wood,1.0,1.0,0.0,esc50|hand_saw
clap,audio,esc50,esc50_s,dog,a dog barking,1.0,1.0,0.0,esc50|dog
clap,audio,esc50,esc50_s,rooster,a rooster crowing at dawn,0.942857,0.87619,-0.06666699999999992,esc50|rooster
clap,audio,esc50,esc50_s,pig,a pig oinking,0.680952,0.747619,0.06666700000000003,esc50|pig
clap,audio,esc50,esc50_s,cow,a cow mooing,0.510909,0.553333,0.04242400000000002,esc50|cow
clap,audio,esc50,esc50_s,frog,frogs croaking,1.0,1.0,0.0,esc50|frog
clap,audio,esc50,esc50_s,cat,a cat meowing,1.0,1.0,0.0,esc50|cat
clap,audio,esc50,esc50_s,hen,a hen clucking,0.8,0.572222,-0.22777800000000004,esc50|hen
clap,audio,esc50,esc50_s,insects,buzzing insects,0.505952,0.722619,0.21666700000000005,esc50|insects
clap,audio,esc50,esc50_s,sheep,sheep bleating,1.0,1.0,0.0,esc50|sheep
clap,audio,esc50,esc50_s,crow,a crow cawing,1.0,1.0,0.0,esc50|crow
clap,audio,esc50,esc50_s,rain,rain falling,1.0,1.0,0.0,esc50|rain
clap,audio,esc50,esc50_s,sea_waves,ocean waves crashing on the shore,0.618301,0.632367,0.014066000000000023,esc50|sea_waves
clap,audio,esc50,esc50_s,crackling_fire,crackling fire in a fireplace,1.0,1.0,0.0,esc50|crackling_fire
clap,audio,esc50,esc50_s,crickets,crickets chirping at night,0.317879,0.434925,0.11704599999999998,esc50|crickets
clap,audio,esc50,esc50_s,chirping_birds,birds singing and chirping,0.837037,0.72037,-0.11666700000000008,esc50|chirping_birds
clap,audio,esc50,esc50_s,water_drops,dripping water drops,0.902857,0.966667,0.06381000000000003,esc50|water_drops
clap,audio,esc50,esc50_s,wind,wind howling,0.385797,0.449483,0.06368600000000002,esc50|wind
clap,audio,esc50,esc50_s,pouring_water,pouring water from a container,0.966667,0.966667,0.0,esc50|pouring_water
clap,audio,esc50,esc50_s,toilet_flush,a toilet flushing,1.0,1.0,0.0,esc50|toilet_flush
clap,audio,esc50,esc50_s,thunderstorm,thunderstorm with loud thunder,1.0,1.0,0.0,esc50|thunderstorm
clap,audio,esc50,esc50_s,crying_baby,a baby crying,0.776949,0.745992,-0.030957000000000012,esc50|crying_baby
clap,audio,esc50,esc50_s,sneezing,someone sneezing,1.0,1.0,0.0,esc50|sneezing
clap,audio,esc50,esc50_s,clapping,people clapping and applauding,1.0,1.0,0.0,esc50|clapping
clap,audio,esc50,esc50_s,breathing,heavy breathing,0.630952,0.800909,0.16995700000000002,esc50|breathing
clap,audio,esc50,esc50_s,coughing,someone coughing,1.0,0.902857,-0.09714299999999998,esc50|coughing
clap,audio,esc50,esc50_s,footsteps,footsteps walking,1.0,1.0,0.0,esc50|footsteps
clap,audio,esc50,esc50_s,laughing,people laughing,1.0,0.966667,-0.033332999999999946,esc50|laughing
clap,audio,esc50,esc50_s,brushing_teeth,brushing teeth,1.0,1.0,0.0,esc50|brushing_teeth
clap,audio,esc50,esc50_s,snoring,someone snoring loudly,0.876667,0.876667,0.0,esc50|snoring
clap,audio,esc50,esc50_s,drinking_sipping,drinking and sipping,0.852857,0.629524,-0.223333,esc50|drinking_sipping
clap,audio,esc50,esc50_s,door_wood_knock,knocking on a wooden door,1.0,1.0,0.0,esc50|door_wood_knock
clap,audio,esc50,esc50_s,mouse_click,mouse clicking,0.78619,0.876667,0.09047699999999992,esc50|mouse_click
clap,audio,esc50,esc50_s,keyboard_typing,keyboard typing,1.0,0.942857,-0.057143000000000055,esc50|keyboard_typing
clap,audio,esc50,esc50_s,door_wood_creep,a creaking wooden door,0.0,0.0,0.0,esc50|door_wood_creep
clap,audio,esc50,esc50_s,can_opening,opening a can,1.0,0.966667,-0.033332999999999946,esc50|can_opening
clap,audio,esc50,esc50_s,washing_machine,a washing machine running,0.747619,0.66359,-0.08402900000000002,esc50|washing_machine
clap,audio,esc50,esc50_s,vacuum_cleaner,a vacuum cleaner,0.78619,0.68619,-0.10000000000000009,esc50|vacuum_cleaner
clap,audio,esc50,esc50_s,clock_alarm,an alarm clock ringing,0.738889,0.858824,0.11993500000000001,esc50|clock_alarm
clap,audio,esc50,esc50_s,clock_tick,a clock ticking,1.0,1.0,0.0,esc50|clock_tick
clap,audio,esc50,esc50_s,glass_breaking,glass shattering,1.0,1.0,0.0,esc50|glass_breaking
clap,audio,esc50,esc50_s,helicopter,a helicopter flying,0.706061,0.720909,0.014847999999999972,esc50|helicopter
clap,audio,esc50,esc50_s,chainsaw,a chainsaw cutting wood,0.911111,0.844444,-0.06666700000000003,esc50|chainsaw
clap,audio,esc50,esc50_s,siren,an emergency siren,0.942857,1.0,0.057143000000000055,esc50|siren
clap,audio,esc50,esc50_s,car_horn,a car horn honking,0.942857,0.942857,0.0,esc50|car_horn
clap,audio,esc50,esc50_s,engine,an engine revving,1.0,1.0,0.0,esc50|engine
clap,audio,esc50,esc50_s,train,a train passing by,1.0,0.966667,-0.033332999999999946,esc50|train
clap,audio,esc50,esc50_s,church_bells,church bells ringing,1.0,1.0,0.0,esc50|church_bells
clap,audio,esc50,esc50_s,airplane,an airplane flying overhead,1.0,1.0,0.0,esc50|airplane
clap,audio,esc50,esc50_s,fireworks,fireworks exploding,1.0,0.902857,-0.09714299999999998,esc50|fireworks
clap,audio,esc50,esc50_s,hand_saw,hand-sawing wood,1.0,1.0,0.0,esc50|hand_saw
e5,text,20newsgroups,20newsgroups_l,sports,baseball games and athletic competition,0.743534,0.668159,-0.07537500000000008,20newsgroups|sports
e5,text,20newsgroups,20newsgroups_l,science,outer space exploration and astronomy,0.704427,0.623675,-0.08075200000000005,20newsgroups|science
e5,text,20newsgroups,20newsgroups_l,cars,automobiles and car reviews,0.614801,0.506801,-0.1080000000000001,20newsgroups|cars
e5,text,20newsgroups,20newsgroups_l,hockey,ice hockey games and NHL scores,0.86777,0.802778,-0.06499200000000005,20newsgroups|hockey
e5,text,20newsgroups,20newsgroups_l,electronics,electronic circuits and components,0.502152,0.479877,-0.022275000000000045,20newsgroups|electronics
e5,text,20newsgroups,20newsgroups_l,religion,christian faith and religious practice,0.659992,0.616032,-0.04396,20newsgroups|religion
e5,text,20newsgroups,20newsgroups_l,world,world politics and government affairs,0.166517,0.144952,-0.021565,20newsgroups|world
e5,text,20newsgroups,20newsgroups_l,business,buying and selling merchandise,0.417042,0.303452,-0.11359000000000002,20newsgroups|business
e5,text,20newsgroups,20newsgroups_l,technology,computer graphics and image rendering,0.747941,0.720885,-0.02705599999999997,20newsgroups|technology
e5,text,20newsgroups,20newsgroups_l,medicine,medical diseases and health treatments,0.752066,0.668675,-0.08339099999999999,20newsgroups|medicine
e5,text,20newsgroups,20newsgroups_l,crypto,cryptography and data encryption,0.688918,0.668268,-0.020650000000000057,20newsgroups|crypto
e5,text,20newsgroups,20newsgroups_l,atheism,atheism and arguments against religion,0.375615,0.36775,-0.007864999999999955,20newsgroups|atheism
e5,text,20newsgroups,20newsgroups_l,motorcycles,motorcycle riding and maintenance,0.648147,0.555953,-0.092194,20newsgroups|motorcycles
e5,text,20newsgroups,20newsgroups_l,mideast,middle east politics and conflict,0.613034,0.540204,-0.07282999999999995,20newsgroups|mideast
e5,text,20newsgroups,20newsgroups_l,guns,firearms and gun legislation,0.617587,0.577921,-0.03966599999999998,20newsgroups|guns
e5,text,20newsgroups,20newsgroups_m,sports,baseball games and athletic competition,0.748398,0.686529,-0.06186900000000006,20newsgroups|sports
e5,text,20newsgroups,20newsgroups_m,science,outer space exploration and astronomy,0.755505,0.664481,-0.091024,20newsgroups|science
e5,text,20newsgroups,20newsgroups_m,cars,automobiles and car reviews,0.698719,0.612197,-0.08652199999999999,20newsgroups|cars
e5,text,20newsgroups,20newsgroups_m,hockey,ice hockey games and NHL scores,0.832712,0.756153,-0.07655900000000004,20newsgroups|hockey
e5,text,20newsgroups,20newsgroups_m,electronics,electronic circuits and components,0.409876,0.363551,-0.046325000000000005,20newsgroups|electronics
e5,text,20newsgroups,20newsgroups_m,religion,christian faith and religious practice,0.631193,0.583288,-0.047904999999999975,20newsgroups|religion
e5,text,20newsgroups,20newsgroups_m,world,world politics and government affairs,0.189707,0.158004,-0.03170299999999998,20newsgroups|world
e5,text,20newsgroups,20newsgroups_m,business,buying and selling merchandise,0.472684,0.336131,-0.13655299999999998,20newsgroups|business
e5,text,20newsgroups,20newsgroups_m,technology,computer graphics and image rendering,0.768852,0.736805,-0.03204699999999994,20newsgroups|technology
e5,text,20newsgroups,20newsgroups_m,medicine,medical diseases and health treatments,0.738133,0.647969,-0.09016400000000002,20newsgroups|medicine
e5,text,20newsgroups,20newsgroups_m,crypto,cryptography and data encryption,0.669134,0.663102,-0.006032000000000037,20newsgroups|crypto
e5,text,20newsgroups,20newsgroups_m,atheism,atheism and arguments against religion,0.373496,0.365561,-0.00793499999999997,20newsgroups|atheism
e5,text,20newsgroups,20newsgroups_m,motorcycles,motorcycle riding and maintenance,0.648552,0.545914,-0.10263800000000001,20newsgroups|motorcycles
e5,text,20newsgroups,20newsgroups_m,mideast,middle east politics and conflict,0.535465,0.492738,-0.04272699999999996,20newsgroups|mideast
e5,text,20newsgroups,20newsgroups_m,guns,firearms and gun legislation,0.559153,0.505006,-0.054147000000000056,20newsgroups|guns
e5,text,20newsgroups,20newsgroups_s,sports,baseball games and athletic competition,0.694189,0.637995,-0.056193999999999966,20newsgroups|sports
e5,text,20newsgroups,20newsgroups_s,science,outer space exploration and astronomy,0.712223,0.629914,-0.08230900000000008,20newsgroups|science
e5,text,20newsgroups,20newsgroups_s,cars,automobiles and car reviews,0.752181,0.638897,-0.11328399999999994,20newsgroups|cars
e5,text,20newsgroups,20newsgroups_s,hockey,ice hockey games and NHL scores,0.835847,0.784655,-0.051192000000000015,20newsgroups|hockey
e5,text,20newsgroups,20newsgroups_s,electronics,electronic circuits and components,0.452805,0.43868,-0.014124999999999999,20newsgroups|electronics
e5,text,20newsgroups,20newsgroups_s,religion,christian faith and religious practice,0.654102,0.591379,-0.06272299999999997,20newsgroups|religion
e5,text,20newsgroups,20newsgroups_s,world,world politics and government affairs,0.196124,0.167204,-0.02892,20newsgroups|world
e5,text,20newsgroups,20newsgroups_s,business,buying and selling merchandise,0.467329,0.351351,-0.11597799999999997,20newsgroups|business
e5,text,20newsgroups,20newsgroups_s,technology,computer graphics and image rendering,0.78244,0.761608,-0.020832000000000073,20newsgroups|technology
e5,text,20newsgroups,20newsgroups_s,medicine,medical diseases and health treatments,0.740262,0.671559,-0.06870299999999996,20newsgroups|medicine
e5,text,20newsgroups,20newsgroups_s,crypto,cryptography and data encryption,0.69691,0.686798,-0.01011200000000001,20newsgroups|crypto
e5,text,20newsgroups,20newsgroups_s,atheism,atheism and arguments against religion,0.37768,0.362902,-0.014778000000000013,20newsgroups|atheism
